=== stage 0 (synthetic units) + stage 1' (real units), in-context regression ===
[stage1'] 600/12000 | loss 0.0334 | predict-the-mean 0.0351 | skill +5.0%
[stage1'] 800/12000 | loss 0.0330 | predict-the-mean 0.0350 | skill +5.6%
[stage1'] 1000/12000 | loss 0.0351 | predict-the-mean 0.0372 | skill +5.6%
[stage1'] 1200/12000 | loss 0.0350 | predict-the-mean 0.0373 | skill +6.1%
[stage1'] 1400/12000 | loss 0.0354 | predict-the-mean 0.0375 | skill +5.6%
[stage1'] 1600/12000 | loss 0.0357 | predict-the-mean 0.0377 | skill +5.3%
[stage1'] 1800/12000 | loss 0.0343 | predict-the-mean 0.0362 | skill +5.4%
[stage1'] 2000/12000 | loss 0.0339 | predict-the-mean 0.0364 | skill +6.9%
[stage1'] 2200/12000 | loss 0.0349 | predict-the-mean 0.0375 | skill +6.8%
[stage1'] 2400/12000 | loss 0.0315 | predict-the-mean 0.0337 | skill +6.5%
[stage1'] 2600/12000 | loss 0.0342 | predict-the-mean 0.0368 | skill +6.9%
[stage1'] 2800/12000 | loss 0.0337 | predict-the-mean 0.0368 | skill +8.4%
[stage1'] 3000/12000 | loss 0.0349 | predict-the-mean 0.0379 | skill +7.9%
[stage1'] 3200/12000 | loss 0.0335 | predict-the-mean 0.0371 | skill +9.7%
[stage1'] 3400/12000 | loss 0.0338 | predict-the-mean 0.0380 | skill +11.0%
[stage1'] 3600/12000 | loss 0.0309 | predict-the-mean 0.0365 | skill +15.4%
[stage1'] 3800/12000 | loss 0.0292 | predict-the-mean 0.0355 | skill +17.7%
[stage1'] 4000/12000 | loss 0.0293 | predict-the-mean 0.0361 | skill +18.7%
[stage1'] 4200/12000 | loss 0.0275 | predict-the-mean 0.0354 | skill +22.3%
[stage1'] 4400/12000 | loss 0.0304 | predict-the-mean 0.0385 | skill +21.1%
[stage1'] 4600/12000 | loss 0.0272 | predict-the-mean 0.0358 | skill +24.3%
[stage1'] 4800/12000 | loss 0.0289 | predict-the-mean 0.0367 | skill +21.4%
[stage1'] 5000/12000 | loss 0.0289 | predict-the-mean 0.0378 | skill +23.5%
[stage1'] 5200/12000 | loss 0.0284 | predict-the-mean 0.0376 | skill +24.5%
[stage1'] 5400/12000 | loss 0.0273 | predict-the-mean 0.0357 | skill +23.4%
[stage1'] 5600/12000 | loss 0.0262 | predict-the-mean 0.0348 | skill +24.7%
[stage1'] 5800/12000 | loss 0.0298 | predict-the-mean 0.0390 | skill +23.5%
[stage1'] 6000/12000 | loss 0.0282 | predict-the-mean 0.0379 | skill +25.5%
[stage1'] 6200/12000 | loss 0.0270 | predict-the-mean 0.0375 | skill +28.1%
[stage1'] 6400/12000 | loss 0.0261 | predict-the-mean 0.0351 | skill +25.8%
[stage1'] 6600/12000 | loss 0.0253 | predict-the-mean 0.0356 | skill +29.0%
[stage1'] 6800/12000 | loss 0.0251 | predict-the-mean 0.0353 | skill +28.9%
[stage1'] 7000/12000 | loss 0.0271 | predict-the-mean 0.0374 | skill +27.5%
[stage1'] 7200/12000 | loss 0.0263 | predict-the-mean 0.0366 | skill +28.2%
[stage1'] 7400/12000 | loss 0.0267 | predict-the-mean 0.0361 | skill +26.2%
[stage1'] 7600/12000 | loss 0.0274 | predict-the-mean 0.0373 | skill +26.6%
[stage1'] 7800/12000 | loss 0.0273 | predict-the-mean 0.0373 | skill +26.7%
[stage1'] 8000/12000 | loss 0.0265 | predict-the-mean 0.0370 | skill +28.5%
[stage1'] 8200/12000 | loss 0.0262 | predict-the-mean 0.0359 | skill +26.9%
[stage1'] 8400/12000 | loss 0.0296 | predict-the-mean 0.0400 | skill +26.1%
[stage1'] 8600/12000 | loss 0.0278 | predict-the-mean 0.0381 | skill +27.0%
[stage1'] 8800/12000 | loss 0.0279 | predict-the-mean 0.0383 | skill +27.0%
[stage1'] 9000/12000 | loss 0.0274 | predict-the-mean 0.0379 | skill +27.7%
[stage1'] 9200/12000 | loss 0.0270 | predict-the-mean 0.0388 | skill +30.3%
[stage1'] 9400/12000 | loss 0.0263 | predict-the-mean 0.0362 | skill +27.4%
[stage1'] 9600/12000 | loss 0.0263 | predict-the-mean 0.0371 | skill +29.0%
[stage1'] 9800/12000 | loss 0.0264 | predict-the-mean 0.0377 | skill +29.9%
[stage1'] 10000/12000 | loss 0.0261 | predict-the-mean 0.0367 | skill +28.9%
[stage1'] 10200/12000 | loss 0.0254 | predict-the-mean 0.0365 | skill +30.2%
[stage1'] 10400/12000 | loss 0.0256 | predict-the-mean 0.0361 | skill +29.0%
[stage1'] 10600/12000 | loss 0.0275 | predict-the-mean 0.0385 | skill +28.7%
[stage1'] 10800/12000 | loss 0.0252 | predict-the-mean 0.0365 | skill +30.9%
[stage1'] 11000/12000 | loss 0.0269 | predict-the-mean 0.0387 | skill +30.4%
[stage1'] 11200/12000 | loss 0.0253 | predict-the-mean 0.0359 | skill +29.5%
[stage1'] 11400/12000 | loss 0.0263 | predict-the-mean 0.0362 | skill +27.4%
[stage1'] 11600/12000 | loss 0.0288 | predict-the-mean 0.0393 | skill +26.7%
[stage1'] 11800/12000 | loss 0.0245 | predict-the-mean 0.0345 | skill +28.9%
[stage1'] 12000/12000 | loss 0.0274 | predict-the-mean 0.0382 | skill +28.2%
[saved] /data2/chenyuxiang/runs/units_pretrain.pt
Next: python -m myoicl.loso --holdout 0 --init-from /data2/chenyuxiang/runs/units_pretrain.pt
=== done, checkpoint: ===
-rw-rw-r-- 1 chenyuxiang chenyuxiang 25154965 8月  19 03:36 /data2/chenyuxiang/runs/units_pretrain.pt
