[model] v1 | 6.25M params total (published backbone 5.29M + ICL module 0.96M) | device=cuda | phase=icl
[data] train sessions=837 val sessions=192
[data] episodic users=86 train + 10 meta-val (held out from module training)
[pretrained] loaded 51 backbone tensors from /data2/chenyuxiang/code/emg2qwerty/models/generic.ckpt; 98 context tensors keep their initialization
step 50/20000 | loss 1.0828 | lr 1.02e-05 | 1.87 it/s
step 100/20000 | loss 1.4795 | lr 2.02e-05 | 2.09 it/s
step 150/20000 | loss 1.0804 | lr 3.02e-05 | 3.06 it/s
step 200/20000 | loss 1.1189 | lr 4.02e-05 | 3.41 it/s
step 250/20000 | loss 1.2473 | lr 5.02e-05 | 2.23 it/s
step 300/20000 | loss 0.9581 | lr 6.02e-05 | 2.20 it/s
step 350/20000 | loss 1.0808 | lr 7.02e-05 | 3.16 it/s
step 400/20000 | loss 1.1256 | lr 8.02e-05 | 1.88 it/s
step 450/20000 | loss 1.0754 | lr 9.02e-05 | 2.06 it/s
step 500/20000 | loss 1.0149 | lr 1.00e-04 | 3.49 it/s
step 550/20000 | loss 0.8585 | lr 1.10e-04 | 2.56 it/s
step 600/20000 | loss 0.8740 | lr 1.20e-04 | 3.17 it/s
step 650/20000 | loss 1.0281 | lr 1.30e-04 | 2.48 it/s
step 700/20000 | loss 0.9044 | lr 1.40e-04 | 3.15 it/s
step 750/20000 | loss 0.9874 | lr 1.50e-04 | 2.75 it/s
step 800/20000 | loss 0.8673 | lr 1.60e-04 | 3.98 it/s
step 850/20000 | loss 0.9725 | lr 1.70e-04 | 3.47 it/s
step 900/20000 | loss 0.8951 | lr 1.80e-04 | 2.70 it/s
step 950/20000 | loss 0.8898 | lr 1.90e-04 | 2.06 it/s
step 1000/20000 | loss 0.7683 | lr 2.00e-04 | 2.99 it/s
step 1050/20000 | loss 0.8821 | lr 2.00e-04 | 2.71 it/s
step 1100/20000 | loss 0.8265 | lr 2.00e-04 | 2.08 it/s
step 1150/20000 | loss 0.9247 | lr 2.00e-04 | 2.68 it/s
step 1200/20000 | loss 0.8428 | lr 2.00e-04 | 2.82 it/s
step 1250/20000 | loss 0.7273 | lr 2.00e-04 | 2.84 it/s
step 1300/20000 | loss 0.8662 | lr 2.00e-04 | 2.39 it/s
step 1350/20000 | loss 0.8137 | lr 2.00e-04 | 3.45 it/s
step 1400/20000 | loss 0.7834 | lr 2.00e-04 | 2.70 it/s
step 1450/20000 | loss 0.6977 | lr 2.00e-04 | 3.03 it/s
step 1500/20000 | loss 0.9534 | lr 2.00e-04 | 2.00 it/s
step 1550/20000 | loss 0.8138 | lr 2.00e-04 | 3.86 it/s
step 1600/20000 | loss 0.8276 | lr 2.00e-04 | 2.81 it/s
step 1650/20000 | loss 0.8512 | lr 1.99e-04 | 2.78 it/s
step 1700/20000 | loss 0.8193 | lr 1.99e-04 | 2.74 it/s
step 1750/20000 | loss 0.7454 | lr 1.99e-04 | 2.79 it/s
step 1800/20000 | loss 0.8925 | lr 1.99e-04 | 2.38 it/s
step 1850/20000 | loss 0.8996 | lr 1.99e-04 | 2.09 it/s
step 1900/20000 | loss 0.9109 | lr 1.99e-04 | 2.74 it/s
step 1950/20000 | loss 0.8820 | lr 1.99e-04 | 2.02 it/s
step 2000/20000 | loss 0.6788 | lr 1.99e-04 | 3.27 it/s
[val] step 2000: mode-B CER 21.98 | mode-A CER 21.94 | conditioning gain -0.04 | loss 0.6653
[val] new best CER 21.98 -> saved best.pt
step 2050/20000 | loss 0.7883 | lr 1.99e-04 | 1.69 it/s
step 2100/20000 | loss 0.7913 | lr 1.98e-04 | 2.55 it/s
step 2150/20000 | loss 0.6896 | lr 1.98e-04 | 3.19 it/s
step 2200/20000 | loss 0.9313 | lr 1.98e-04 | 2.81 it/s
step 2250/20000 | loss 0.8072 | lr 1.98e-04 | 2.08 it/s
step 2300/20000 | loss 0.8378 | lr 1.98e-04 | 3.14 it/s
step 2350/20000 | loss 0.7133 | lr 1.98e-04 | 2.26 it/s
step 2400/20000 | loss 0.8699 | lr 1.97e-04 | 2.83 it/s
step 2450/20000 | loss 0.8735 | lr 1.97e-04 | 2.41 it/s
step 2500/20000 | loss 0.7446 | lr 1.97e-04 | 2.54 it/s
step 2550/20000 | loss 0.8333 | lr 1.97e-04 | 2.25 it/s
step 2600/20000 | loss 0.8754 | lr 1.97e-04 | 2.41 it/s
step 2650/20000 | loss 0.8180 | lr 1.96e-04 | 2.67 it/s
step 2700/20000 | loss 0.8059 | lr 1.96e-04 | 2.54 it/s
step 2750/20000 | loss 0.8292 | lr 1.96e-04 | 2.83 it/s
step 2800/20000 | loss 0.7697 | lr 1.96e-04 | 3.22 it/s
step 2850/20000 | loss 0.8384 | lr 1.96e-04 | 2.03 it/s
