[model] v1 | 6.25M params total (published backbone 5.29M + ICL module 0.96M) | device=cuda | phase=icl
[data] train sessions=837 val sessions=192
[data] episodic users=86 train + 10 meta-val (held out from module training)
step 100/70000 | loss 41.7297 | lr 5.05e-05 | 2.24 it/s
step 200/70000 | loss 3.4800 | lr 1.01e-04 | 3.10 it/s
step 300/70000 | loss 3.3749 | lr 1.50e-04 | 3.01 it/s
step 400/70000 | loss 3.4089 | lr 2.01e-04 | 3.38 it/s
step 500/70000 | loss 3.2676 | lr 2.51e-04 | 2.39 it/s
step 600/70000 | loss 3.3223 | lr 3.00e-04 | 2.94 it/s
step 700/70000 | loss 3.2102 | lr 3.51e-04 | 2.94 it/s
step 800/70000 | loss 3.2192 | lr 4.01e-04 | 2.72 it/s
step 900/70000 | loss 3.1575 | lr 4.50e-04 | 2.62 it/s
step 1000/70000 | loss 3.1622 | lr 5.00e-04 | 3.06 it/s
step 1100/70000 | loss 3.1011 | lr 5.50e-04 | 2.55 it/s
step 1200/70000 | loss 3.0518 | lr 6.01e-04 | 2.94 it/s
step 1300/70000 | loss 2.9563 | lr 6.50e-04 | 2.95 it/s
step 1400/70000 | loss 3.0255 | lr 7.01e-04 | 3.39 it/s
step 1500/70000 | loss 2.9626 | lr 7.50e-04 | 2.83 it/s
step 1600/70000 | loss 2.9136 | lr 8.00e-04 | 2.42 it/s
step 1700/70000 | loss 2.8881 | lr 8.51e-04 | 2.95 it/s
step 1800/70000 | loss 2.7847 | lr 9.00e-04 | 2.61 it/s
step 1900/70000 | loss 2.8023 | lr 9.51e-04 | 2.84 it/s
step 2000/70000 | loss 2.8113 | lr 1.00e-03 | 2.19 it/s
step 2100/70000 | loss 2.8325 | lr 1.00e-03 | 3.28 it/s
step 2200/70000 | loss 2.7675 | lr 1.00e-03 | 2.81 it/s
step 2300/70000 | loss 2.6081 | lr 1.00e-03 | 3.12 it/s
step 2400/70000 | loss 2.7275 | lr 1.00e-03 | 2.76 it/s
step 2500/70000 | loss 2.6862 | lr 1.00e-03 | 2.16 it/s
[val] step 2500: mode-B CER 83.83 | mode-A CER 83.76 | conditioning gain -0.07 | loss 3.1510
[val] new best CER 83.83 -> saved best.pt
step 2600/70000 | loss 2.5874 | lr 1.00e-03 | 2.03 it/s
step 2700/70000 | loss 2.5268 | lr 1.00e-03 | 2.84 it/s
step 2800/70000 | loss 2.5866 | lr 1.00e-03 | 2.91 it/s
step 2900/70000 | loss 2.5392 | lr 1.00e-03 | 2.96 it/s
step 3000/70000 | loss 2.5128 | lr 9.99e-04 | 3.02 it/s
step 3100/70000 | loss 2.5734 | lr 9.99e-04 | 2.94 it/s
step 3200/70000 | loss 2.5211 | lr 9.99e-04 | 2.45 it/s
step 3300/70000 | loss 2.4802 | lr 9.99e-04 | 2.99 it/s
step 3400/70000 | loss 2.4863 | lr 9.99e-04 | 2.32 it/s
step 3500/70000 | loss 2.4947 | lr 9.99e-04 | 3.13 it/s
step 3600/70000 | loss 2.4649 | lr 9.99e-04 | 2.79 it/s
step 3700/70000 | loss 2.3424 | lr 9.99e-04 | 2.45 it/s
step 3800/70000 | loss 2.4388 | lr 9.98e-04 | 2.70 it/s
step 3900/70000 | loss 2.4710 | lr 9.98e-04 | 2.32 it/s
step 4000/70000 | loss 2.3673 | lr 9.98e-04 | 2.87 it/s
step 4100/70000 | loss 2.4497 | lr 9.98e-04 | 2.62 it/s
step 4200/70000 | loss 2.3411 | lr 9.98e-04 | 2.69 it/s
step 4300/70000 | loss 2.5205 | lr 9.97e-04 | 2.82 it/s
step 4400/70000 | loss 2.3844 | lr 9.97e-04 | 3.03 it/s
step 4500/70000 | loss 2.3511 | lr 9.97e-04 | 2.34 it/s
step 4600/70000 | loss 2.4597 | lr 9.97e-04 | 2.80 it/s
step 4700/70000 | loss 2.3469 | lr 9.96e-04 | 2.88 it/s
step 4800/70000 | loss 2.3868 | lr 9.96e-04 | 3.22 it/s
step 4900/70000 | loss 2.4864 | lr 9.96e-04 | 2.34 it/s
step 5000/70000 | loss 2.3708 | lr 9.95e-04 | 3.08 it/s
[val] step 5000: mode-B CER 67.60 | mode-A CER 66.93 | conditioning gain -0.67 | loss 2.4195
[val] new best CER 67.60 -> saved best.pt
step 5100/70000 | loss 2.4244 | lr 9.95e-04 | 2.28 it/s
step 5200/70000 | loss 2.3623 | lr 9.95e-04 | 3.05 it/s
step 5300/70000 | loss 2.2929 | lr 9.94e-04 | 3.11 it/s
step 5400/70000 | loss 2.3825 | lr 9.94e-04 | 2.85 it/s
step 5500/70000 | loss 2.4135 | lr 9.94e-04 | 1.97 it/s
step 5600/70000 | loss 2.2626 | lr 9.93e-04 | 2.91 it/s
