96 training users -> 4 folds
  fold 0:  24 users,  213 sessions | e.g. ['11372316', '14312238', '2396581']
  fold 1:  24 users,  206 sessions | e.g. ['11944098', '1438774', '25847138']
  fold 2:  24 users,  213 sessions | e.g. ['12565339', '18200807', '25915650']
  fold 3:  24 users,  205 sessions | e.g. ['13321435', '20676876', '26940776']
[split] fold 2: train on 72 users (624 sessions); HELD OUT 24 users (213 sessions)
[split] official test users: 16 sessions (never trained on in either mode)
[data] 168679 training windows of 4.0s
[data] monitor sets: 512 test windows, 512 fold-heldout windows
/data2/chenyuxiang/conda_envs/qwerty/lib/python3.10/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
[init] continued from /data2/chenyuxiang/runs/tf_fold2/last.pt (step 40000, fold 2); optimizer starts fresh
[model] featurizer [11, 3, 3]/[5, 2, 2] -> 100 Hz frames (400 per window)
[model] tiny: 2.12M total  (featurizer 0.08M  encoder 1.98M  decoder 0.01M)
/data2/chenyuxiang/conda_envs/qwerty/lib/python3.10/site-packages/torch/nn/modules/conv.py:306: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return F.conv1d(input, weight, bias, self.stride,
step 200/103000 | loss 1.5046 | lr 6.80e-05 | 632 win/s
step 400/103000 | loss 1.5324 | lr 1.36e-04 | 673 win/s
step 600/103000 | loss 1.5727 | lr 2.04e-04 | 688 win/s
step 800/103000 | loss 1.6238 | lr 2.72e-04 | 690 win/s
step 1000/103000 | loss 1.6869 | lr 3.40e-04 | 694 win/s
step 1200/103000 | loss 1.7181 | lr 4.08e-04 | 696 win/s
step 1400/103000 | loss 1.7647 | lr 4.76e-04 | 696 win/s
step 1600/103000 | loss 1.7929 | lr 5.44e-04 | 695 win/s
step 1800/103000 | loss 1.8334 | lr 6.12e-04 | 695 win/s
step 2000/103000 | loss 1.8585 | lr 6.80e-04 | 695 win/s
step 2200/103000 | loss 1.8944 | lr 7.00e-04 | 695 win/s
step 2400/103000 | loss 1.8904 | lr 7.00e-04 | 695 win/s
step 2600/103000 | loss 1.9050 | lr 7.00e-04 | 695 win/s
step 2800/103000 | loss 1.8994 | lr 7.00e-04 | 695 win/s
step 3000/103000 | loss 1.8967 | lr 7.00e-04 | 694 win/s
step 3200/103000 | loss 1.8818 | lr 7.00e-04 | 690 win/s
step 3400/103000 | loss 1.8751 | lr 7.00e-04 | 690 win/s
step 3600/103000 | loss 1.8700 | lr 7.00e-04 | 689 win/s
step 3800/103000 | loss 1.8937 | lr 6.99e-04 | 688 win/s
step 4000/103000 | loss 1.8665 | lr 6.99e-04 | 688 win/s
[val] step 4000: 8-test-user CER 48.72 | fold-heldout-user CER 56.24  (their Tiny reference: 35.9)
[val] new best 48.72 -> best.pt
step 4200/103000 | loss 1.8763 | lr 6.99e-04 | 687 win/s
step 4400/103000 | loss 1.8813 | lr 6.99e-04 | 687 win/s
step 4600/103000 | loss 1.8806 | lr 6.99e-04 | 688 win/s
step 4800/103000 | loss 1.8993 | lr 6.99e-04 | 688 win/s
step 5000/103000 | loss 1.8769 | lr 6.99e-04 | 688 win/s
step 5200/103000 | loss 1.8850 | lr 6.98e-04 | 689 win/s
step 5400/103000 | loss 1.8526 | lr 6.98e-04 | 689 win/s
step 5600/103000 | loss 1.8583 | lr 6.98e-04 | 689 win/s
step 5800/103000 | loss 1.8628 | lr 6.98e-04 | 689 win/s
step 6000/103000 | loss 1.8523 | lr 6.97e-04 | 689 win/s
step 6200/103000 | loss 1.8584 | lr 6.97e-04 | 689 win/s
step 6400/103000 | loss 1.8437 | lr 6.97e-04 | 689 win/s
step 6600/103000 | loss 1.8604 | lr 6.97e-04 | 689 win/s
step 6800/103000 | loss 1.8509 | lr 6.96e-04 | 689 win/s
step 7000/103000 | loss 1.8559 | lr 6.96e-04 | 689 win/s
step 7200/103000 | loss 1.8649 | lr 6.96e-04 | 689 win/s
