[split] REFERENCE run: all 96 training users
[split] official test users: 16 sessions (never trained on in either mode)
[data] 229266 training windows of 4.0s
[data] monitor sets: 512 test windows, 0 fold-heldout windows
/data2/chenyuxiang/conda_envs/qwerty/lib/python3.10/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
[init] continued from /data2/chenyuxiang/runs/tf_ref_lr1e3/last.pt (step 40000, fold -1); optimizer starts fresh
[model] featurizer [11, 3, 3]/[5, 2, 2] -> 100 Hz frames (400 per window)
[model] tiny: 2.12M total  (featurizer 0.08M  encoder 1.98M  decoder 0.01M)
/data2/chenyuxiang/conda_envs/qwerty/lib/python3.10/site-packages/torch/nn/modules/conv.py:306: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return F.conv1d(input, weight, bias, self.stride,
step 200/103000 | loss 1.6695 | lr 6.80e-05 | 604 win/s
step 400/103000 | loss 1.6913 | lr 1.36e-04 | 646 win/s
step 600/103000 | loss 1.7357 | lr 2.04e-04 | 663 win/s
step 800/103000 | loss 1.7758 | lr 2.72e-04 | 671 win/s
step 1000/103000 | loss 1.8158 | lr 3.40e-04 | 673 win/s
step 1200/103000 | loss 1.8450 | lr 4.08e-04 | 658 win/s
step 1400/103000 | loss 1.9162 | lr 4.76e-04 | 630 win/s
step 1600/103000 | loss 1.9711 | lr 5.44e-04 | 613 win/s
step 1800/103000 | loss 2.0262 | lr 6.12e-04 | 594 win/s
step 2000/103000 | loss 2.0533 | lr 6.80e-04 | 575 win/s
step 2200/103000 | loss 2.0594 | lr 7.00e-04 | 556 win/s
step 2400/103000 | loss 2.0231 | lr 7.00e-04 | 543 win/s
step 2600/103000 | loss 2.0333 | lr 7.00e-04 | 527 win/s
step 2800/103000 | loss 2.0461 | lr 7.00e-04 | 516 win/s
step 3000/103000 | loss 2.0189 | lr 7.00e-04 | 506 win/s
step 3200/103000 | loss 2.0054 | lr 7.00e-04 | 496 win/s
step 3400/103000 | loss 2.0263 | lr 7.00e-04 | 488 win/s
step 3600/103000 | loss 2.0330 | lr 7.00e-04 | 480 win/s
